GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Puff,com.karuslabs.puff.generation,Source,216,0,10,0,36,0,21,0,16,0
Puff,com.karuslabs.puff.type.matches,ExactlyType,22,0,2,0,7,0,4,0,3,0
Puff,com.karuslabs.puff.type.matches,Or,33,0,2,0,9,0,4,0,3,0
Puff,com.karuslabs.puff.type.matches,AnnotationMatch,4,0,0,0,2,0,1,0,1,0
Puff,com.karuslabs.puff.type.matches,Matches,23,0,0,0,5,0,5,0,5,0
Puff,com.karuslabs.puff.type.matches,ExactlyPrimitive,25,0,2,0,8,0,4,0,3,0
Puff,com.karuslabs.puff.type.matches,Match,12,0,0,0,2,0,2,0,2,0
Puff,com.karuslabs.puff.type.matches,TypeMatch,6,0,0,0,3,0,1,0,1,0
Puff,com.karuslabs.puff.type.matches,Many,7,0,0,0,3,0,1,0,1,0
Puff,com.karuslabs.puff.type.matches,Subtype,23,0,2,0,7,0,4,0,3,0
Puff,com.karuslabs.puff.type.matches,And,33,0,2,0,9,0,4,0,3,0
Puff,com.karuslabs.puff.type.matches,Supertype,23,0,2,0,7,0,4,0,3,0
Puff,com.karuslabs.puff.type,SimpleTypePrinter,47,0,4,0,11,0,4,0,2,0
Puff,com.karuslabs.puff.type,Find,0,35,0,2,0,7,0,4,0,3
Puff,com.karuslabs.puff.type,QualifiedTypePrinter,24,0,2,0,7,0,3,0,2,0
Puff,com.karuslabs.puff.type,FindExecutable,0,17,0,0,0,5,0,5,0,5
Puff,com.karuslabs.puff.type,TypePrinter,230,0,16,0,50,0,19,0,11,0
Puff,com.karuslabs.puff.type,FindType,0,13,0,0,0,4,0,4,0,4
Puff,com.karuslabs.puff.type,FindPackage,0,9,0,0,0,3,0,3,0,3
Puff,com.karuslabs.puff.type,TypeMirrors,153,86,14,6,36,18,32,10,21,7
Puff,com.karuslabs.puff.type,FindModule,0,5,0,0,0,2,0,2,0,2
Puff,com.karuslabs.puff.type,TypeMap,141,0,18,0,32,0,16,0,7,0
Puff,com.karuslabs.puff,Log,5,92,1,1,1,29,1,13,0,13
Puff,com.karuslabs.puff,ElementProcessor,0,28,0,2,0,7,0,4,0,3
Puff,com.karuslabs.puff,AnnotationProcessor,0,27,0,0,0,6,0,2,0,2
Puff,com.karuslabs.puff,Format,78,14,6,0,17,3,10,3,7,3
