GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Karus-Commons,com.karusmc.commons.commands.events,CommandRegistrationEvent,5,21,0,0,2,8,2,4,2,4
Karus-Commons,com.karusmc.commons.core.xml,Parser,86,17,8,0,8,6,6,2,2,2
Karus-Commons,com.karusmc.commons.core.xml,SetterParser,89,17,8,0,12,6,6,2,2,2
Karus-Commons,com.karusmc.commons.core.xml,ParserException,5,4,0,0,2,2,1,1,1,1
Karus-Commons,com.karusmc.commons.commands.xml,CommandComponent,3,84,1,3,1,16,2,3,1,2
Karus-Commons,com.karusmc.commons.commands.xml,CommandParser,7,21,0,0,3,6,1,2,1,2
Karus-Commons,com.karusmc.commons.commands.xml,CommandsComponent,9,46,0,2,3,10,1,4,1,3
Karus-Commons,com.karusmc.commons.commands.reference,AboutCommand,17,56,1,1,3,12,2,2,1,2
Karus-Commons,com.karusmc.commons.commands.reference,HelpCommand,97,66,7,3,15,13,9,6,5,5
Karus-Commons,com.karusmc.commons.commands.reference,MarshallCommand,106,88,0,10,25,13,23,9,23,4
Karus-Commons,com.karusmc.commons.items.meta,BannerMetaComponent,0,40,1,1,0,10,1,3,0,3
Karus-Commons,com.karusmc.commons.items.meta,EnchantmentStorageMetaComponent,26,50,2,4,3,13,2,3,0,2
Karus-Commons,com.karusmc.commons.items.meta,BookMetaComponent,0,49,1,1,0,8,1,3,0,3
Karus-Commons,com.karusmc.commons.items.meta,ItemMetaComponent,27,102,1,3,3,20,1,8,0,7
Karus-Commons,com.karusmc.commons.items.meta,LeatherArmorMetaComponent,15,30,0,0,2,8,0,2,0,2
Karus-Commons,com.karusmc.commons.items.meta,PotionMetaComponent,170,92,68,6,19,17,52,4,0,3
Karus-Commons,com.karusmc.commons.core.test,BukkitResource,9,40,0,0,3,9,3,2,3,2
Karus-Commons,com.karusmc.commons.core.test,EnchantmentResource,12,48,1,3,4,9,3,3,2,2
Karus-Commons,com.karusmc.commons.core.test,PotionResource,12,48,1,3,4,9,3,3,2,2
Karus-Commons,com.karusmc.commons.core.test,XMLResource,89,20,9,1,9,5,7,3,2,3
Karus-Commons,com.karusmc.commons.commands,Utility,3,108,0,16,1,21,1,17,1,9
Karus-Commons,com.karusmc.commons.commands,Criteria,34,11,10,0,1,4,9,2,4,2
Karus-Commons,com.karusmc.commons.commands,PluginCommand,14,8,0,0,4,3,2,1,2,1
Karus-Commons,com.karusmc.commons.commands,Manager,20,19,0,0,4,7,3,2,3,2
Karus-Commons,com.karusmc.commons.commands,CommandMapProxy,3,85,0,6,1,19,1,10,1,7
Karus-Commons,com.karusmc.commons.commands,Command,9,20,0,0,3,5,2,2,2,2
Karus-Commons,com.karusmc.commons.items,ValueStack,0,27,0,0,0,10,0,5,0,5
Karus-Commons,com.karusmc.commons.items,ValueStackComponent,79,89,1,1,12,18,2,3,1,3
Karus-Commons,com.karusmc.commons.items,ItemParser,7,41,0,0,3,10,1,3,1,3
